learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1800000.0,31.444066,0.0,1800000.0,89.86,79.6270995740577,79.3608792998168,78.05194805194805,90.11,89.52,1800000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,1.096701,0.0,100000.0,67.49000000000001,0.1466808707578308,24.936504271530843,-0.308546744831808,99.51,1.18,100000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,0.665717,0.0,100000.0,67.14,-0.09552024722802592,24.128376818286775,-1.388460351743273,98.77,1.63,100000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,0.607683,0.0,100000.0,67.14,-0.09552024722802592,24.128376818286775,-1.388460351743273,98.77,1.63,100000.0,0.0
200000.0,1.23104,0.0,200000.0,67.5,-0.01679666696022835,25.14970059880241,-0.09239297813365167,99.92,0.09,200000.0,0.0
300000.0,1.958724,0.0,300000.0,66.81,0.0,25.079006772009027,0.0,99.99,0.0,300000.0,0.0
400000.0,2.895799,0.0,400000.0,66.55,0.019248909925851192,24.662162162162147,-0.1796945193171743,99.8,0.32,400000.0,0.0
500000.0,4.015798,0.0,500000.0,66.77,0.04084999269032373,24.81900452488686,-0.06022282445049353,99.88,0.13,500000.0,0.0
600000.0,5.303825,0.0,600000.0,65.36,0.45487295237054876,23.073506551188096,-2.9726516052318694,97.26,1.58,600000.0,0.0
700000.0,6.824032,0.0,700000.0,67.85,0.08485484054224887,24.84805984104721,-0.500156298843403,99.48,0.63,700000.0,0.0
800000.0,8.528667,0.0,800000.0,66.28,0.479475249404865,23.206558870416757,-0.5666567253206122,98.92999999999999,1.2,800000.0,0.0
900000.0,10.131708,0.0,900000.0,66.86,0.10303795885605775,24.182109357126517,-0.09060706735127697,99.82,0.29,900000.0,0.0
1000000.0,12.019097,0.0,1000000.0,67.25999999999999,-0.0707586457742879,24.94268684089867,-0.33711308611706703,99.75,0.19,1000000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,0.540969,0.0,100000.0,67.4,0.11847909243853168,24.728700069268083,-0.5862388151804694,99.15,2.52,100000.0,0.0
200000.0,1.111336,0.0,200000.0,67.52,0.0015948021518773295,25.195762321510834,-0.03079765937788389,99.98,0.02,200000.0,0.0
300000.0,1.76168,0.0,300000.0,66.81,0.0,25.079006772009027,0.0,100.0,0.0,300000.0,0.0
400000.0,2.640103,0.0,400000.0,66.55,-6.098691902445256E-4,24.662162162162147,-0.1796945193171743,99.72999999999999,0.36,400000.0,0.0
500000.0,3.644989,0.0,500000.0,66.8,0.04021875776606705,24.8868778280543,0.03011141222523005,99.97,0.02,500000.0,0.0
600000.0,4.855805,0.0,600000.0,66.09,0.1395396064667907,24.69464801243617,-0.8026159334125815,99.29,0.41000000000000003,600000.0,0.0
700000.0,6.545092,0.0,700000.0,67.74,-0.2682252729263041,24.590930341280963,-0.8440137542982294,99.47,0.6,700000.0,0.0
800000.0,8.246606,0.0,800000.0,66.12,-0.09005150383526062,22.842177180596686,-1.0438413361168943,99.06,0.75,800000.0,0.0
900000.0,9.917652,0.0,900000.0,66.84,0.08344659318598405,24.13635323724549,-0.1510117789187726,99.74,0.31,900000.0,0.0
1000000.0,11.802565,0.0,1000000.0,67.32000000000001,0.09141574315937684,25.080238422741875,-0.15323322096228775,99.74,0.27,1000000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,1.077031,0.0,100000.0,67.14,-0.09552024722802592,24.128376818286775,-1.388460351743273,98.77,1.63,100000.0,0.0
200000.0,1.819697,0.0,200000.0,67.5,-0.01679666696022835,25.14970059880241,-0.09239297813365167,99.92,0.09,200000.0,0.0
300000.0,2.578841,0.0,300000.0,66.81,0.0,25.079006772009027,0.0,99.99,0.0,300000.0,0.0
400000.0,3.84422,0.0,400000.0,66.55,0.019248909925851192,24.662162162162147,-0.1796945193171743,99.8,0.32,400000.0,0.0
500000.0,5.147079,0.0,500000.0,66.77,0.04084999269032373,24.81900452488686,-0.06022282445049353,99.88,0.13,500000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,1.83443,0.0,100000.0,67.42,-0.05751003477321632,24.774878780882027,-0.5245294662141078,99.28,1.01,100000.0,0.0
200000.0,4.441867,0.0,200000.0,67.15,0.35747551887823065,24.343620451404885,-1.1703110563597245,98.64,1.5599999999999998,200000.0,0.0
300000.0,7.37725,0.0,300000.0,66.02,1.1348888459962367,23.295711060948072,-2.3802350105453507,96.56,3.9600000000000004,300000.0,0.0
400000.0,10.042484,0.0,400000.0,65.96,0.34365045892568463,23.333333333333318,-1.9466906259359276,97.78999999999999,2.65,400000.0,0.0
